node_id,node_type,x,y,elevation_m,flood_depth_m
412,road,80.2240221,13.0284845,8.0,0.0
413,road,80.2662884,13.0477262,9.0,2.0
414,road,80.2393229,13.0353622,14.0,0.0
415,road,80.2055776,13.0427009,14.0,3.0
416,road,80.2575961,13.0065905,12.0,2.0
417,road,80.2575987,13.0067779,11.0,2.0
418,road,80.2230235,13.0114955,13.0,0.0
419,road,80.2178218,12.9833561,6.0,0.0
420,road,80.2179426,12.9833477,6.0,0.0
421,road,80.2501241,12.9944672,7.0,0.0
422,road,80.237561,13.0344269,16.0,0.0
423,road,80.2376637,13.0344933,16.0,0.0
424,road,80.2576339,13.0458327,13.0,0.0
425,road,80.2575638,13.0456844,13.0,0.0
426,road,80.255548,12.9862428,8.0,0.0
427,road,80.209923,13.0496423,16.0,5.0
428,road,80.2099323,13.0495873,16.0,5.0
429,road,80.2473915,13.0063126,11.0,0.0
430,road,80.2474432,13.0052723,9.0,0.0
431,road,80.2403563,13.0448612,10.0,5.0
432,road,80.2402759,13.0449835,10.0,5.0
433,road,80.2589862,13.0456019,11.0,0.0
434,road,80.2589309,13.0454223,11.0,0.0
435,road,80.235676,13.0282831,10.0,0.0
436,road,80.2357827,13.0281596,10.0,0.0
437,road,80.2184784,13.0321991,11.0,0.0
438,road,80.2472514,13.0054365,9.0,0.0
441,road,80.2513095,12.9879,8.0,0.0
442,road,80.2497522,12.9945094,9.0,0.0
443,road,80.2496671,12.9944894,9.0,0.0
445,road,80.2598259,13.0455299,10.0,0.0
446,road,80.2598776,13.0455999,10.0,0.0
447,road,80.260572,13.0452085,11.0,0.0
448,road,80.2475229,13.0039987,6.0,0.0
449,road,80.2142983,13.0091399,13.0,0.0
450,road,80.2142321,13.0092102,15.0,0.0
451,road,80.2324932,13.0445272,12.0,4.0
452,road,80.231042,13.0279395,13.0,0.0
453,road,80.2464186,13.0375097,8.0,3.0
454,road,80.2466376,13.037483,10.0,3.0
455,road,80.2463947,13.0374148,10.0,3.0
456,road,80.2466166,13.0373571,10.0,3.0
457,road,80.2503056,12.9736865,4.0,0.0
458,road,80.2502395,12.9737064,4.0,0.0
459,road,80.2504278,12.9736532,4.0,0.0
460,road,80.2421107,13.0323214,10.0,0.0
461,road,80.2421828,13.032203,10.0,0.0
462,road,80.2557094,12.987381,8.0,0.0
463,road,80.2379909,13.0072353,12.0,0.0
464,road,80.2500622,12.9727504,4.0,0.0
465,road,80.2500152,12.9728586,4.0,0.0
466,road,80.2498159,13.0288622,14.0,0.0
468,road,80.2458298,13.0313881,10.0,0.0
469,road,80.2551166,13.0065443,12.0,1.0
470,road,80.2591859,13.0107556,9.0,0.0
471,road,80.225212,12.9784681,7.0,0.0
472,road,80.2194122,12.9719844,4.0,0.0
473,road,80.2061372,13.0077549,12.0,0.0
474,road,80.2473903,13.0419965,12.0,2.0
475,road,80.2502736,12.9738323,4.0,0.0
476,road,80.2503429,12.9738162,4.0,0.0
477,road,80.2504655,12.9737859,4.0,0.0
478,road,80.2344722,13.0390356,12.0,0.0
479,road,80.243182,12.9813089,4.0,0.0
480,road,80.2478527,13.0292315,15.0,0.0
481,road,80.2527349,12.9798118,5.0,0.0
482,road,80.2657686,13.0373727,11.0,0.0
483,road,80.2657435,13.0372568,11.0,0.0
484,road,80.2359395,13.0427568,14.0,5.0
485,road,80.2358215,13.0427123,16.0,5.0
486,road,80.2358564,13.0426295,14.0,5.0
487,road,80.2334299,13.0406083,13.0,1.0
488,road,80.2663994,13.046853,8.0,0.0
489,road,80.2674219,13.0369886,9.0,0.0
490,road,80.2676899,13.0378119,10.0,0.0
491,road,80.2481599,13.000907,7.0,0.0
492,road,80.248032,13.000875,7.0,0.0
493,road,80.2517749,12.9863668,4.0,0.0
494,road,80.2515884,12.9876488,8.0,0.0
495,road,80.2514698,12.9877203,8.0,0.0
496,road,80.2512668,12.988077,8.0,0.0
497,road,80.2507849,12.9749096,4.0,0.0
498,road,80.2506659,12.9749391,4.0,0.0
499,road,80.2606257,13.0453952,11.0,0.0
500,road,80.2040562,13.0479063,17.0,0.0
501,road,80.2039979,13.0480732,17.0,0.0
502,road,80.2537908,13.0272247,12.0,0.0
503,road,80.2668883,12.995765,10.0,0.0
504,road,80.2676908,12.995714,9.0,0.0
505,road,80.2574518,13.0064135,10.0,5.0
506,road,80.257597,13.0064597,12.0,5.0
507,road,80.251638,12.9877625,8.0,0.0
508,road,80.2516258,12.9878365,8.0,0.0
509,road,80.2299386,13.0252425,9.0,0.0
510,road,80.2298378,13.0253817,9.0,0.0
511,road,80.2518082,12.9779679,4.0,0.0
512,road,80.1972343,13.0019666,22.0,0.0
513,road,80.1972069,13.0021225,22.0,0.0
514,road,80.2569684,13.0341294,13.0,0.0
515,road,80.2087938,13.012871,10.0,0.0
516,road,80.2087833,13.0129273,10.0,0.0
517,road,80.2490148,13.0067933,8.0,0.0
518,road,80.249009,13.0068891,8.0,0.0
519,road,80.2105706,13.0497295,16.0,3.0
520,road,80.2105794,13.0496769,16.0,3.0
521,road,80.1925235,13.0150371,15.0,0.0
522,road,80.1924655,13.0149427,11.0,0.0
523,road,80.2183903,13.0322985,11.0,0.0
524,road,80.2516783,12.9774001,4.0,0.0
525,road,80.2515775,12.9773563,6.0,0.0
526,road,80.2432743,12.9812969,4.0,0.0
527,road,80.2677001,12.9960193,11.0,0.0
528,road,80.2676283,12.9957201,9.0,0.0
529,road,80.2676251,12.9956768,9.0,0.0
530,road,80.1934805,13.014613,14.0,0.0
531,road,80.2456456,13.0349265,13.0,1.0
532,road,80.2527321,12.9808426,5.0,0.0
533,road,80.2350554,13.0078112,16.0,0.0
534,road,80.2350698,13.0079169,16.0,0.0
535,road,80.2309328,13.0279232,13.0,0.0
536,road,80.2309804,13.0279946,13.0,0.0
537,road,80.2308905,13.0372806,14.0,0.0
538,road,80.2310753,13.0376351,14.0,0.0
539,road,80.2313548,13.0387827,14.0,0.0
